Season,Club,gk_players_used,gk_minutes,gk_minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att_gk,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
2012-2013,QPR,2,3420,,60,1.58,192,132,68.8,4,13,21,7,18.4,,,,,
2012-2013,Reading,3,3420,,73,1.92,236,163,69.1,6,10,22,5,13.2,,,,,
2012-2013,Southampton,3,3420,,60,1.58,162,102,63.0,9,14,15,7,18.4,,,,,
2012-2013,Stoke City,1,3420,,45,1.18,154,109,70.8,9,15,14,12,31.6,,,,,
2012-2013,Sunderland,1,3420,,54,1.42,200,146,73.0,9,12,17,11,28.9,,,,,
2012-2013,Swansea City,2,3420,,51,1.34,201,150,74.6,11,13,14,10,26.3,,,,,
2012-2013,Tottenham,2,3420,,46,1.21,127,81,63.8,21,9,8,9,23.7,,,,,
2012-2013,West Brom,2,3420,,57,1.50,177,120,67.8,14,7,17,8,21.1,,,,,
2012-2013,West Ham,1,3420,,53,1.39,215,162,75.3,12,10,16,11,28.9,,,,,
2012-2013,Wigan Athletic,2,3420,,73,1.92,188,115,61.2,9,9,20,5,13.2,,,,,
2013-2014,Arsenal,1,3330,,41,1.11,147,106,72.1,24,7,7,17,44.7,,,,,
2013-2014,Aston Villa,1,3420,,61,1.61,174,113,64.9,10,8,20,9,23.7,,,,,
2013-2014,Cardiff City,2,3420,,74,1.95,220,146,66.4,7,9,22,7,18.4,,,,,
2013-2014,Chelsea,2,3420,,27,0.71,121,94,77.7,25,7,6,18,47.4,,,,,
2013-2014,Crystal Palace,2,3420,,48,1.26,169,121,71.6,13,6,19,12,31.6,,,,,
2013-2014,Everton,2,3420,,39,1.03,148,109,73.6,21,9,8,15,39.5,,,,,
2013-2014,Fulham,2,3420,,85,2.24,241,156,64.7,9,5,24,5,13.2,,,,,
2013-2014,Hull City,3,3419,,53,1.40,164,111,67.7,10,7,21,10,26.3,,,,,
2013-2014,Liverpool,1,3420,,50,1.32,152,102,67.1,26,6,6,10,26.3,,,,,
2013-2014,Manchester City,2,3420,,37,0.97,126,89,70.6,27,5,6,16,42.1,,,,,
2013-2014,Manchester Utd,2,3420,,43,1.13,143,100,69.9,19,7,12,13,34.2,,,,,
2013-2014,Newcastle Utd,2,3420,,59,1.55,170,111,65.3,15,4,19,10,26.3,,,,,
2013-2014,Norwich City,1,3420,,62,1.63,189,127,67.2,8,9,21,12,31.6,,,,,
2013-2014,Southampton,3,3420,,46,1.21,132,86,65.2,15,11,12,15,39.5,,,,,
2013-2014,Stoke City,3,3420,,52,1.37,173,121,69.9,13,11,14,9,23.7,,,,,
2013-2014,Sunderland,2,3420,,60,1.58,217,157,72.4,10,8,20,11,28.9,,,,,
2013-2014,Swansea City,2,3420,,54,1.42,155,101,65.2,11,9,18,8,21.1,,,,,
2013-2014,Tottenham,2,3420,,51,1.34,152,101,66.4,21,6,11,14,36.8,,,,,
2013-2014,West Brom,3,3420,,59,1.55,174,115,66.1,7,15,16,7,18.4,,,,,
